2023-03-18 19:48:00,422 [INFO   ] [APP] exchange started with arguments={rtg.py, run, autotrader.py}
2023-03-18 19:48:00,423 [INFO   ] [APP] configuration={"Engine":{"MarketDataFile":"data/market_data1.csv","MarketEventInterval":0.05,"MarketOpenDelay":5.0,"MatchEventsFile":"match_events.csv","ScoreBoardFile":"score_board.csv","Speed":1.0,"TickInterval":0.25},"Execution":{"Host":"127.0.0.1","Port":12345},"Fees":{"Maker":-0.0001,"Taker":0.0002},"Hud":{"Host":"127.0.0.1","Port":12347},"Information":{"Type":"mmap","Name":"info.dat"},"Instrument":{"EtfClamp":0.002,"TickSize":1.0},"Limits":{"ActiveOrderCountLimit":10,"ActiveVolumeLimit":200,"MessageFrequencyInterval":1.0,"MessageFrequencyLimit":50,"PositionLimit":100},"Traders":{"TraderOne":"secret","TraderTwo":"secret"}}
2023-03-18 19:48:00,425 [INFO   ] [CONTROLLER] starting the match
2023-03-18 19:48:00,425 [INFO   ] [EXECUTION] starting execution server: host=127.0.0.1 port=12345
2023-03-18 19:48:00,426 [INFO   ] [INFORMATION] starting information publisher: type=mmap name=info.dat
2023-03-18 19:48:00,427 [INFO   ] [HEADS_UP] starting heads-up display server: host=127.0.0.1 port=12347
2023-03-18 19:48:00,427 [INFO   ] [INFORMATION] information channel established
2023-03-18 19:48:01,015 [INFO   ] [CONNECTION] fd=22 connection established: peer=127.0.0.1:59670
2023-03-18 19:48:01,018 [INFO   ] [EXECUTION] fd=22 'TraderOne' is ready!
2023-03-18 19:48:02,355 [INFO   ] [CONNECTION] fd=23 connection established: peer=127.0.0.1:36566
2023-03-18 19:48:05,443 [INFO   ] [CONTROLLER] market open
2023-03-18 19:51:04,649 [INFO   ] [APP] SIGTERM signal received - shutting down...
2023-03-18 19:51:05,028 [INFO   ] [APP] closing event loop
2023-03-18 20:30:11,307 [INFO   ] [APP] exchange started with arguments={rtg.py, run, autotrader.py}
